fromNode	toNode	weight	direction	fromAltName	toAltName
1553185_at	1553186_x_at	0.16375026191865	undirected	NA	NA
1553185_at	HYCC2	0.068103751706877	undirected	NA	NA
1553185_at	1556416_s_at	0.218390207078982	undirected	NA	NA
1553185_at	1557852_at	0.0526349254338381	undirected	NA	NA
1553185_at	1558002_at	0.13691388175052	undirected	NA	NA
1553185_at	1558702_at	0.135979916159617	undirected	NA	NA
1553185_at	1558739_at	0.0541800682161591	undirected	NA	NA
1553185_at	1558740_s_at	0.136613277450067	undirected	NA	NA
1553185_at	SMCHD1	0.22216693537835	undirected	NA	NA
1553185_at	LINC02603	0.099079189398559	undirected	NA	NA
1553185_at	1562255_at	0.023588574665378	undirected	NA	NA
1553185_at	MLLT10	0.205847989664999	undirected	NA	NA
1553185_at	1564378_a_at	0.0601909415241309	undirected	NA	NA
1553185_at	CEP295	0.120786868036008	undirected	NA	NA
1553185_at	1569599_at	0.115728323173454	undirected	NA	NA
1553185_at	TBL1X	0.167936691794395	undirected	NA	NA
1553185_at	SPEN	0.109398754418757	undirected	NA	NA
1553185_at	TRAK2	0.043769442373483	undirected	NA	NA
1553185_at	USP1	0.172719273964231	undirected	NA	NA
1553185_at	TMED2	0.0350763348413197	undirected	NA	NA
1553185_at	F5	0.0857646689625733	undirected	NA	NA
1553185_at	GABPB1-IT1	0.0539022629465285	undirected	NA	NA
1553185_at	IL7	0.037683942865496	undirected	NA	NA
1553185_at	CD3G	0.0485585783933899	undirected	NA	NA
1553185_at	HIPK3	0.0443236328142148	undirected	NA	NA
1553185_at	APLP2	0.0248905671625229	undirected	NA	NA
1553185_at	SRRM2	0.252620884169944	undirected	NA	NA
1553185_at	ATRX	0.244830519020824	undirected	NA	NA
1553185_at	TOP1	0.113169434832069	undirected	NA	NA
1553185_at	PPIG	0.196849129872723	undirected	NA	NA
1553185_at	UBN1	0.165040168086527	undirected	NA	NA
1553185_at	KLHDC10	0.159409870688525	undirected	NA	NA
1553185_at	SMC3	0.0580116622750214	undirected	NA	NA
1553185_at	SMC3	0.0574182774076831	undirected	NA	NA
1553185_at	SCAF11	0.177959466839743	undirected	NA	NA
1553185_at	HIPK3	0.0671707365060903	undirected	NA	NA
1553185_at	SF1	0.0531531420602548	undirected	NA	NA
1553185_at	RORA	0.0329319780768425	undirected	NA	NA
1553185_at	ATRX	0.160616326127114	undirected	NA	NA
1553185_at	RBM25	0.240453261757913	undirected	NA	NA
1553185_at	PNISR	0.190938643172926	undirected	NA	NA
1553185_at	TCF4	0.0384479221076922	undirected	NA	NA
1553185_at	DDX39B	0.161794452732375	undirected	NA	NA
1553185_at	WASHC4	0.176240783566732	undirected	NA	NA
1553185_at	SCAF11	0.217164261051238	undirected	NA	NA
1553185_at	KRAS	0.199149741629027	undirected	NA	NA
1553185_at	WASHC4	0.0894116994791244	undirected	NA	NA
1553185_at	216550_x_at	0.0909364475099793	undirected	NA	NA
1553185_at	216563_at	0.0585519182666688	undirected	NA	NA
1553185_at	ESF1	0.21082414380038	undirected	NA	NA
1553185_at	NAA15	0.152624266836946	undirected	NA	NA
1553185_at	ANKRD11	0.177002917059505	undirected	NA	NA
1553185_at	KLF13	0.148650981140062	undirected	NA	NA
1553185_at	CSPP1	0.198440243220028	undirected	NA	NA
1553185_at	CEP290	0.0892771057080021	undirected	NA	NA
1553185_at	THRAP3	0.199365571824021	undirected	NA	NA
1553185_at	TBL1XR1	0.233929643557897	undirected	NA	NA
1553185_at	ASH1L	0.0587658680819115	undirected	NA	NA
1553185_at	NFKBIZ	0.190412660078257	undirected	NA	NA
1553185_at	TALAM1	0.18961456657993	undirected	NA	NA
1553185_at	MALAT1	0.211013993691465	undirected	NA	NA
